Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,0.0,0,1,0,60,0.0,0.0,0.0,0.0,60.0,60.0,60.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40.0,0.0,1.0,60.0,60.0,60.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,0.0,0,1,0,60,0.0,0.0,0.0,0.0,60.0,60.0,60.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40.0,0.0,1.0,60.0,60.0,60.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,0.101470947265625,2,1,108,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,1655.6463157894736,29.565112781954888,0.0507354736328125,0.050649404525756836,0.10138487815856934,8.606910705566406e-05,0.101470947265625,0.101470947265625,0.0,0.101470947265625,0.101470947265625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80.0,40.0,19.710075187969924,9.855037593984962,54.0,60.0,56.0,2.8284271247461903,8.0,2,0,0,0,3,0,0,0,0.5,56.0,14.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,108,1,60,0,0,1,14,0.101470947265625,0.0,0.101470947265625,0.101470947265625,0.0,0.0,0.0,0.0,BENIGN
443,0.13153982162475586,2,1,209,227,155.0,54.0,104.5,50.5,227.0,227.0,227.0,0.0,3314.5856107649197,22.806781725446697,0.06576991081237793,0.018091917037963867,0.0838618278503418,0.04767799377441406,0.13153982162475586,0.13153982162475586,0.0,0.13153982162475586,0.13153982162475586,0.0,0.0,0.0,0.0,0.0,1,1,0,0,80.0,40.0,15.204521150297797,7.6022605751488985,54.0,227.0,145.33333333333334,70.95695095541302,5034.888888888889,0,0,0,2,3,0,0,0,0.5,145.33333333333334,64.5,187.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,209,1,227,0,0,1,14,0.13153982162475586,0.0,0.13153982162475586,0.13153982162475586,0.0,0.0,0.0,0.0,BENIGN
443,0.21378493309020996,13,14,6354,6482,1506.0,54.0,488.7692307692308,578.6625366834687,1494.0,54.0,463.0,563.8746061214066,60041.64940184838,126.29514910017966,0.008222497426546536,0.01779412221543012,0.09059906005859375,0.0,0.21154284477233887,0.017628570397694904,0.023759863458543588,0.09059906005859375,0.0,0.19657492637634277,0.015121148182795597,0.027812377127258966,0.10706686973571777,0.0,5,6,0,0,532.0,572.0,60.808775492679096,65.48637360750057,54.0,1506.0,475.4074074074074,571.1876684048098,326255.3525377229,2,2,0,11,26,0,0,0,1.0769230769230769,475.4074074074074,447.84615384615387,422.14285714285717,532.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6354,14,6482,0,0,12,14,0.21378493309020996,0.0,0.21378493309020996,0.21378493309020996,0.0,0.0,0.0,0.0,BENIGN
443,0.32251811027526855,5,5,1794,612,1514.0,54.0,358.8,577.7776042734782,318.0,54.0,122.4,98.62372939612453,7460.046190728588,31.006010767782993,0.03583534558614095,0.0770640998319678,0.24942517280578613,0.0,0.32251811027526855,0.08062952756881714,0.12521834716987032,0.2967710494995117,0.0,0.07269501686096191,0.01817375421524048,0.03092152774982404,0.07172703742980957,0.0,2,3,0,0,200.0,212.0,15.503005383891496,15.503005383891496,54.0,1514.0,240.6,430.9849649349731,185748.04000000004,0,0,0,5,10,0,0,0,1.0,240.6,318.8,80.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1794,5,612,0,0,4,14,0.32251811027526855,0.0,0.32251811027526855,0.32251811027526855,0.0,0.0,0.0,0.0,BENIGN
443,0.6368000507354736,14,14,6166,6446,1506.0,54.0,440.42857142857144,573.0048259938523,1494.0,54.0,460.42857142857144,562.4464056100577,19805.274803972992,43.96984574304185,0.0235851870642768,0.07390624140707062,0.3891890048980713,0.0,0.6346080303192139,0.04881600233224722,0.10743014082020633,0.41255903244018555,0.0,0.6129450798034668,0.0471496215233436,0.10280054883336914,0.3891890048980713,0.0,5,6,0,0,572.0,572.0,21.984922871520926,21.984922871520926,54.0,1506.0,450.42857142857144,567.8382207089967,322440.2448979592,2,2,0,11,27,0,0,0,1.0,450.42857142857144,399.57142857142856,419.57142857142856,572.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6166,14,6446,0,0,13,14,0.6368000507354736,0.0,0.6368000507354736,0.6368000507354736,0.0,0.0,0.0,0.0,BENIGN
443,0.7823288440704346,7,7,2718,1201,1514.0,54.0,388.2857142857143,497.44453080166613,449.0,54.0,171.57142857142858,142.50098460096652,5009.402413963871,17.89528803151166,0.06017914185157189,0.10491134012373363,0.25348806381225586,0.0,0.5321049690246582,0.0886841615041097,0.12517688834496304,0.27701902389526367,0.0,0.7823288440704346,0.13038814067840576,0.12184901207102869,0.2538299560546875,0.0,3,3,0,0,280.0,292.0,8.94764401575583,8.94764401575583,54.0,1514.0,279.92857142857144,381.60197369318024,145620.0663265306,1,1,2,6,12,0,0,0,1.0,279.92857142857144,348.2857142857143,129.85714285714286,280.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2718,7,1201,0,0,6,14,0.7823288440704346,0.0,0.7823288440704346,0.7823288440704346,0.0,0.0,0.0,0.0,BENIGN
443,0.9207160472869873,9,8,2838,1261,1514.0,54.0,315.3333333333333,459.4530564824998,449.0,54.0,157.625,138.31028296912706,4451.969759925712,18.463890197301076,0.05754475295543671,0.09715425489857336,0.2259521484375,0.0,0.6955511569976807,0.08694389462471008,0.11189344582294303,0.24154090881347656,0.0,0.6947638988494873,0.09925198554992676,0.11015264723098564,0.22641301155090332,0.0,3,3,0,0,372.0,332.0,9.775000692688806,8.688889504612272,54.0,1514.0,241.11764705882354,356.30883536500966,126955.98615916955,2,2,2,6,14,0,0,0,0.8888888888888888,241.11764705882354,274.0,116.125,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2838,8,1261,0,0,8,14,0.9207160472869873,0.0,0.9207160472869873,0.9207160472869873,0.0,0.0,0.0,0.0,BENIGN
443,0.9475200176239014,9,10,2838,1393,1514.0,54.0,315.3333333333333,459.4530564824998,449.0,54.0,139.3,129.1348519958884,4465.341017923917,20.05234680703248,0.05264000097910563,0.09453575231116625,0.23468995094299316,0.0,0.7215828895568848,0.0901978611946106,0.11588751113536964,0.2539820671081543,0.0,0.7183361053466797,0.07981512281629774,0.10672382648821883,0.23547601699829102,0.0,3,4,0,0,372.0,412.0,9.498480066489071,10.553866740543413,54.0,1514.0,222.68421052631578,341.3144949859801,116495.58448753462,2,2,2,7,16,0,0,0,1.1111111111111112,222.68421052631578,274.0,98.1,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2838,10,1393,0,0,8,14,0.9475200176239014,0.0,0.9475200176239014,0.9475200176239014,0.0,0.0,0.0,0.0,BENIGN
